0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
13:04:56,0,Hz,0,W,12,mbar,10,mbar,,,13:51:58,0,Hz,0,W,3.9,mbar,3.8,mbar
13:04:58,0,Hz,0,W,11,mbar,9.5,mbar,,,13:52:00,0,Hz,0,W,3.9,mbar,3.7,mbar
13:05:00,0,Hz,0,W,10,mbar,8.9,mbar,,,13:52:02,0,Hz,0,W,3.9,mbar,3.7,mbar
13:05:02,0,Hz,0,W,9.4,mbar,8.4,mbar,,,13:52:04,0,Hz,0,W,3.8,mbar,3.6,mbar
13:05:04,0,Hz,0,W,8.7,mbar,7.8,mbar,,,13:52:06,0,Hz,0,W,3.8,mbar,3.6,mbar
13:05:06,0,Hz,0,W,8.1,mbar,7.2,mbar,,,13:52:08,0,Hz,0,W,3.8,mbar,3.6,mbar
13:05:08,0,Hz,0,W,7.6,mbar,6.8,mbar,,,13:52:10,0,Hz,0,W,3.7,mbar,3.5,mbar
13:05:10,0,Hz,0,W,7.1,mbar,6.6,mbar,,,13:52:12,0,Hz,0,W,3.7,mbar,3.5,mbar
13:05:12,0,Hz,0,W,6.9,mbar,6.4,mbar,,,13:52:14,0,Hz,0,W,3.7,mbar,3.5,mbar
13:05:14,0,Hz,0,W,6.6,mbar,6.2,mbar,,,13:52:16,0,Hz,0,W,3.6,mbar,3.4,mbar
13:05:16,0,Hz,0,W,6.4,mbar,6,mbar,,,13:52:18,0,Hz,0,W,3.6,mbar,3.4,mbar
13:05:18,0,Hz,0,W,6.2,mbar,5.8,mbar,,,13:52:20,0,Hz,0,W,3.6,mbar,3.4,mbar
13:05:20,0,Hz,0,W,6,mbar,5.6,mbar,,,13:52:22,0,Hz,0,W,3.6,mbar,3.4,mbar
13:05:22,0,Hz,0,W,5.9,mbar,5.4,mbar,,,13:52:24,0,Hz,0,W,3.5,mbar,3.3,mbar
13:05:24,0,Hz,0,W,5.7,mbar,5.3,mbar,,,13:52:26,0,Hz,0,W,3.5,mbar,3.3,mbar
13:05:26,0,Hz,0,W,5.5,mbar,5.1,mbar,,,13:52:28,0,Hz,0,W,3.5,mbar,3.3,mbar
13:05:28,0,Hz,0,W,5.4,mbar,5,mbar,,,13:52:30,0,Hz,0,W,3.5,mbar,3.3,mbar
13:05:30,0,Hz,0,W,5.3,mbar,4.9,mbar,,,13:52:32,0,Hz,0,W,3.5,mbar,3.2,mbar
13:05:32,0,Hz,0,W,5.1,mbar,4.7,mbar,,,13:52:34,0,Hz,0,W,3.4,mbar,3.2,mbar
13:05:34,0,Hz,0,W,5,mbar,4.6,mbar,,,13:52:36,0,Hz,0,W,3.4,mbar,3.2,mbar
13:05:36,0,Hz,0,W,4.9,mbar,4.4,mbar,,,13:52:38,0,Hz,0,W,3.4,mbar,3.2,mbar
13:05:38,0,Hz,0,W,4.8,mbar,4.3,mbar,,,13:52:40,0,Hz,0,W,3.4,mbar,3.2,mbar
